Año,Trimestre,Provincia,Accesos por cada 100 hogares,Categoría,Fecha
2021,2, Santa Fe ,75.07,Alta penetración,2021-02-01
2021,2, Santiago Del Estero ,46.56,Baja penetración,2021-02-01
2021,2, Tierra Del Fuego ,67.89,Alta penetración,2021-02-01
2021,2, Tucumán ,54.93,Alta penetración,2021-02-01
2021,1, Buenos Aires ,69.11,Alta penetración,2021-01-01
2021,1, Capital Federal ,108.42,Alta penetración,2021-01-01
2021,1, Catamarca ,48.9,Baja penetración,2021-01-01
2021,1, Chaco ,43.14,Baja penetración,2021-01-01
2021,1, Chubut ,68.99,Alta penetración,2021-01-01
2021,1, Córdoba ,78.59,Alta penetración,2021-01-01
2021,1, Corrientes ,42.66,Baja penetración,2021-01-01
2021,1, Entre Ríos ,60.44,Alta penetración,2021-01-01
2021,1, Formosa ,32.73,Baja penetración,2021-01-01
2021,1, Jujuy ,55.63,Alta penetración,2021-01-01
2021,1, La Pampa ,81.78,Alta penetración,2021-01-01
2021,1, La Rioja ,49.81,Baja penetración,2021-01-01
2021,1, Mendoza ,39.15,Baja penetración,2021-01-01
2021,1, Misiones ,43.17,Baja penetración,2021-01-01
2021,1, Neuquén ,66.84,Alta penetración,2021-01-01
2021,1, Río Negro ,60.88,Alta penetración,2021-01-01
2021,1, Salta ,53.93,Alta penetración,2021-01-01
2021,1, San Juan ,39.06,Baja penetración,2021-01-01
2021,1, San Luis ,81.24,Alta penetración,2021-01-01
2021,1, Santa Cruz ,41.65,Baja penetración,2021-01-01
2021,1, Santa Fe ,73.92,Alta penetración,2021-01-01
2021,1, Santiago Del Estero ,45.67,Baja penetración,2021-01-01
2021,1, Tierra Del Fuego ,77.35,Alta penetración,2021-01-01
2021,1, Tucumán ,54.82,Alta penetración,2021-01-01
2020,4, Buenos Aires ,68.98,Alta penetración,2020-04-01
2020,4, Capital Federal ,108.31,Alta penetración,2020-04-01
2020,4, Catamarca ,49.41,Baja penetración,2020-04-01
2020,4, Chaco ,43.03,Baja penetración,2020-04-01
2020,4, Chubut ,68.35,Alta penetración,2020-04-01
2020,4, Córdoba ,78.08,Alta penetración,2020-04-01
2020,4, Corrientes ,42.43,Baja penetración,2020-04-01
2020,4, Entre Ríos ,59.47,Alta penetración,2020-04-01
